Ticker,shortname,Sàn NY,Level1,Level2,Level3,Level4,Số CP niêm yết,Số CP lưu hành,Số CP lưu hành BQ hiện tại,Free Fload,Giá đóng cửa,Vốn hóa,KLTB 30 ngày,KLTB 30 ngày/Số CPLH,KLTB 90 ngày,KLTB 90 ngày/Số CPLH,KLTB 180 ngày,KLTB 180 ngày/Số CPLH bình quân hiện tại,GTTB 30 ngày,GTTB 90 ngày,GTTB 180 ngày,Lãi gộp/Doanh thu,LN ròng/Doanh thu,LN ròng/Doanh thu1,ROE,ROA,khả năng thanh toán ngắn hạn,Tổng công nợ/Vốn CSH,tỷ lệ dòng tền trước thuế và thu nhập/thu nhập trước lãi và thuế,EV/EBITDA,EPS,BV,P/E,P/B,updatedate
KLB,Ngân hàng Thương mại Cổ phần Kiên Long,UpCom,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,323695796,319895796,319895800.0,79973949,10800,,305.35,9.545295806263108e-07,176350.5,0.0005512748282568861,183309.425,0.000573028545545143,3153725,2334234731.6666603,2276247448.33333,,,,,,,,,,567.0,11213.69037841,18.4181953579326,0.963108453644619,2020-03-26 00:00:00
KLM,Công ty Cổ phần Kim loại màu Nghệ Tĩnh,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Kim Loại màu,3885000,3885000,3885000.0,388500,12000,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,817.0,10418.2768100386,14.6798007337146,1.15182195854474,2020-03-26 00:00:00
KSA,Công ty Cổ phần Công nghiệp Khoáng sản Bình Thuận,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,93427360,93427360,93427360.0,93427360,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,789.0,11267.9624989274,0,0.0,2020-03-26 00:00:00
KSE,Công ty Cổ phần Xuất khẩu Thủy sản Khánh Hòa,UpCom,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,1476000,1157500,1476000.0,405125,20700,,4580.0,0.00395680345572354,1731.66666666666,0.00149604031677465,905.833333333333,0.000613708220415537,72665500,30076833.333333302,16888083.333333302,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
KSH,Công ty Cổ phần Damac GLS,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,57509675,57509675,57509675.0,54634191,400,,302443.8,0.005259007288773579,292530.166666666,0.00508662527942762,218133.341666666,0.00379298512235839,141686550,118818920.0,92043249.16666658,,,,,,,,,,394.0,10238.7856366336,0.968977634450789,0.0390671329780387,2020-03-26 00:00:00
KSS,Tổng Công ty Cổ phần Khoáng sản Na Rì Hamico,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,0,49432500,49432500.0,46960875,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,105.0,11966.9822619159,0,0.0,2020-03-26 00:00:00
KSV,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,200000000,200000000,200000000.0,3882100,13000,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,9897.46180157777,19.3800534242558,1.3134680649060502,2020-03-26 00:00:00
KTB,Công ty Cổ phần Đầu tư Khoáng sản Tây Bắc,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,40200000,40200000,40200000.0,40200000,1900,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,111.0,10305.255141616899,20.9859529584203,0.18437195138691898,2020-03-26 00:00:00
KTC,Công ty Cổ phần Thương mại Kiên Giang,UpCom,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch,36473833,36473833,36473833.0,737500,26100,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
KTL,Công ty Cổ phần Kim khí Thăng Long,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,6519500,19200000,19200000.0,8640000,17500,,8155.0,0.000424739583333333,3383.3333333333303,0.000176215277777777,2048.3333333333303,0.000106684027777777,146770500,65494333.3333333,40474333.33333329,,,,,,,,,,782.0,13167.3284117708,22.377307895596,1.3290471273091298,2020-03-26 00:00:00
KTU,Công ty Cổ phần Môi trường Đô thị Kon Tum,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường,1210330,1210330,1210330.0,423616,10500,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
KTW,Công ty Cổ phần Cấp nước Kon Tum,UpCom,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,0,8330200,2423000.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
L12,Công ty Cổ phần Licogi 12,UpCom,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,7000000,6738871,6738871.0,3032492,4000,,25.0,3.7098202354667396e-06,103.333333333333,1.53339236399292e-05,51.6666666666666,7.6669618199646e-06,117000,773166.6666666659,386583.33333333296,,,,,,,,,,1360.0,13041.0435104,3.10323209866812,0.306723921042826,2020-03-26 00:00:00
L44,Công ty Cổ phần Lilama 45.4,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,4000000,3980000,4000000.0,2388000,2400,,0.0,0.0,0.166666666666666,4.18760469011725e-08,0.0833333333333333,2.08333333333333e-08,0,400.0,200.0,,,,,,,,,,151.0,14651.69553875,14.0732738814035,0.16380356755657402,2020-03-26 00:00:00
